A,Z,Element,Elevel,T1/2 (num),Decay Time (sec),full name,Total amount (number atoms),Total amount (gram)
238.0,94.0,PU,0.0,2767999999.8645263,788400000.0,PU238-0.0,3.090548259012528e+21,1.2214103172921877
153.0,62.0,SM,98.39,0.0106,788400000.0,SM153-98.39,9.45468773985703,3.760325504912789e-21
88.0,35.0,BR,270.1,5.3e-06,788400000.0,BR88-270.1,0.0066861636072303296,2.6597312067553127e-24
130.0,53.0,I,39.9542,530.4,788400000.0,I130-39.9542,1975.060900220514,7.840461836679975e-19
70.0,31.0,GA,0.0,1268.4,788400000.0,GA70-0.0,0.016733750208418857,6.641962832521518e-24
89.0,39.0,Y,908.96,15.663,788400000.0,Y89-908.96,45003.83050914575,1.789195672275803e-17
138.0,57.0,LA,0.0,3.25e+18,788400000.0,LA138-0.0,40064871.26082721,1.5907288309028186e-14
143.0,59.0,PR,0.0,1172448.0,788400000.0,PR143-0.0,51998353.37933956,2.065460020372972e-14
133.0,56.0,BA,288.252,140148.0,788400000.0,BA133-288.252,0.25239802560459523,1.0017614271113292e-22
133.0,56.0,BA,0.0,333000000.0,788400000.0,BA133-0.0,484.1828420921078,1.9216995410432773e-19
73.0,32.0,GE,66.722,0.499,788400000.0,GE73-66.722,0.4904213560360778,1.9478667104556643e-22
166.0,67.0,HO,190.9021,0.000185,788400000.0,HO166-190.9021,4.247545909176259e-05,1.686114996252076e-26
117.0,51.0,SB,3130.82,0.000355,788400000.0,SB117-3130.82,5.577429552345739e-13,2.2042464405270495e-34
84.0,33.0,AS,0.0,4.02,788400000.0,AS84-0.0,973.10470277753,3.8711696516542735e-19
152.0,64.0,GD,0.0,3.408e+21,788400000.0,GD152-0.0,18356.900340680386,7.284684018033653e-18
79.0,36.0,KR,130.01,50.0,788400000.0,KR79-130.01,4.2237517717665574e-07,1.6761375010016386e-28
156.0,65.0,TB,88.4,19080.0,788400000.0,TB156-88.4,0.01972615834620769,7.82782635599262e-24
165.0,68.0,ER,0.0,37296.0,788400000.0,ER165-0.0,0.01830178901525685,7.263185645449819e-24
149.0,57.0,LA,0.0,1.05,788400000.0,LA149-0.0,193.03462467488993,7.687153996083803e-20
92.0,36.0,KR,0.0,1.84,788400000.0,KR92-0.0,2692.7950915341435,1.0715462259444515e-18
137.0,57.0,LA,0.0,1893000000000.0,788400000.0,LA137-0.0,1541217.794555937,6.118091281487944e-16
87.0,35.0,BR,0.0,55.65,788400000.0,BR87-0.0,73757.61336194837,2.93273211084559e-17
104.0,45.0,RH,0.0,42.3,788400000.0,RH104-0.0,0.45251770653774925,1.7964179872361938e-22
132.0,53.0,I,120.0,4993.2,788400000.0,I132-120.0,32335344.658150136,1.285550573165687e-14
130.0,51.0,SB,0.0,2370.0,788400000.0,SB130-0.0,12585768.616286324,5.005588598618692e-15
70.0,29.0,CU,242.6,6.6,788400000.0,CU70-242.6,0.6914681888251667,2.7454008094252574e-22
140.0,54.0,XE,0.0,13.6,788400000.0,XE140-0.0,68723.23120819831,2.734936311945627e-17
113.0,49.0,IN,391.691,5968.56,788400000.0,IN113-391.691,1.7533669415841752e-05,6.92945164730812e-27
135.0,53.0,I,0.0,23688.0,788400000.0,I135-0.0,368533679.00733095,1.466036537291819e-13
78.0,32.0,GE,0.0,5280.0,788400000.0,GE78-0.0,252508.59279435113,1.0039963287295134e-16
78.0,30.0,ZN,2672.5,3.19e-07,788400000.0,ZN78-2672.5,8.334395198112796e-07,3.3155825177561573e-28
154.0,60.0,ND,0.0,25.9,788400000.0,ND154-0.0,12098.656053753093,4.8147215022747126e-18
87.0,39.0,Y,380.82,48132.0,788400000.0,Y87-380.82,0.05357125841983813,2.1261885631495902e-23
123.0,50.0,SN,24.6,2403.6,788400000.0,SN123-24.6,347310.4201207917,1.3805873041973127e-16
121.0,48.0,CD,214.89,8.3,788400000.0,CD121-214.89,678.0415147144714,2.6957313674093113e-19
121.0,48.0,CD,0.0,13.5,788400000.0,CD121-0.0,0.0,0.0
121.0,49.0,IN,0.0,23.1,788400000.0,IN121-0.0,769.4608302591888,3.0565107937433353e-19
131.0,52.0,TE,0.0,1500.0,788400000.0,TE131-0.0,5979356.338230123,2.377238228079573e-15
159.0,66.0,DY,352.77,0.000122,788400000.0,DY159-352.77,1.6966399210204965e-10,6.733214044698441e-32
150.0,59.0,PR,0.0,6.19,788400000.0,PR150-0.0,7496.8873856892,2.9815128818507627e-18
119.0,52.0,TE,0.0,57780.0,788400000.0,TE119-0.0,1.634551085446229e-05,6.4598815245262136e-27
77.0,34.0,SE,161.9224,17.36,788400000.0,SE77-161.9224,108.62519205145688,4.3156385937864003e-20
69.0,30.0,ZN,0.0,3384.0,788400000.0,ZN69-0.0,117.19510719206878,4.652766529708442e-20
145.0,58.0,CE,0.0,180.6,788400000.0,CE145-0.0,162621.7129343097,6.462376945110712e-17
125.0,52.0,TE,144.775,4959360.0,788400000.0,TE125-144.775,1418457310.5780616,5.635966303199864e-13
140.0,57.0,LA,0.0,145029.312,788400000.0,LA140-0.0,1873532886.7745337,7.452527812387993e-13
164.0,64.0,GD,1095.5,5.8e-07,788400000.0,GD164-1095.5,9.613146680324435e-07,3.8187493429958745e-28
112.0,46.0,PD,0.0,75744.0,788400000.0,PD112-0.0,32815038.889856458,1.3054307203082626e-14
122.0,49.0,IN,0.0,1.5,788400000.0,IN122-0.0,87.09004491056862,3.4605473936758365e-20
136.0,53.0,I,201.0,46.6,788400000.0,I136-201.0,500088.3550382215,1.9897007101116035e-16
141.0,56.0,BA,0.0,1096.2,788400000.0,BA141-0.0,12311521.982681341,4.89681203414604e-15
