Rad Ene.,Total emissions 1/sec,T1/2 (num),Rad Int.
0.0765,638.2392468495758,760900000000.0,1e-08
0.85,2.729308730251635e-07,0.00086,0.0011
0.91,0.02777209437913839,2760.0,42.0
0.93,0.0012733384081500046,6.6,0.0124
1.01,0.011310745134507104,1268.4,0.0056
1.1,0.051661659420507565,10.2,0.43
1.19,0.09510241276720423,1268.4,0.000521
1.28,0.25847276226965266,7.6,0.049
1.38,13.436044830342917,17.36,0.94
1.48,21.72458974797721,5.3e-06,0.906
1.59,25.161162718314063,50.0,1.69
1.69,80.84731943387153,1.84,0.092
1.81,114.03667040275333,4057.8,1.92
1.83,6.74232164182129e-07,3.5e-06,100.0
1.92,359.62062525990166,15.663,0.0256
2.04,441.7506620874367,0.732,0.393
2.17,503.8101457459434,375.78,3.24
2.1726,1.7924730347579835e-06,21625.92,7.08e-09
2.29,4354.834291112664,375.78,2.07e-05
2.42,3417.755834757797,876.6,6.2
2.56,252.5119662361652,42.3,0.02
2.7,100.74974861989861,34.4,0.91
2.84,179.5183409252462,21.3,1.57
2.98,292.81436610806327,145.2,0.079
3.13,4.418076278411681,445000000.0,0.0063
3.2,1.8042484176841513e-06,9.5,0.00026
3.29,7.797614311441564,5968.56,2.24
3.44,265.9979281643873,1209600.0,7.4
3.6,468.8988995724293,0.000355,7.2
3.77,1243.8039446172784,2370.0,1.17
3.94,4040.695148243986,530.4,6.2
4.0,0.02752132586143288,2.21,0.0026
4.11,3052.4027482633082,46.6,1.34
4.29,2730.3880075129337,333000000.0,15.7
4.413,2.2350082565216343e-06,988122.24,2.33e-05
4.47,917.226142761876,3.25e+18,6.1
4.65,3201.2366399942366,1096.2,1.29
4.821,0.44379708197082046,102240.0,0.061
4.84,241.68248914057884,1.05,3.0
4.85,30.78862752416963,848.4,0.2
5.025,4.83057267918355e-07,27057.6,0.07
5.03,1732.7957062534808,180.6,7.8
5.23,858.181792181774,1172448.0,6.3e-10
5.2357,3.5795749949028256e-16,116675.1,0.056
5.43,557.6717372988976,25.9,9.3
5.64,525.7325066563317,0.0106,28.0
5.85,150.2640087495081,2760.0,29.0
6.06,107.13962405778709,271400000.0,7.1
6.27,5.10070004911186,19080.0,14.1
6.28,5.900663128929011e-12,181500000.0,1.5e-06
6.281,129.75492703494126,876.6,0.537
6.29,4.5298529773763337e-10,1385000000.0,8.9e-10
6.469,13.43470885184346,24.84,0.162
6.5,1.8018094750316205,0.000122,47.0
6.67,1.2588081341715223e-10,181500000.0,3.2e-05
6.72,0.09375070496581495,0.000185,25.0
6.92,4.97756728483132e-13,4057.8,4.2e-06
6.95,0.04303930614830406,165.6,22.0
7.1,0.0017192248901371388,2760.0,2.6
7.18,0.00013901263359991306,811468.8,0.00062
7.42,5.913603973235992e-05,228960.0,10.3
7.461,2.654873037608408e-06,0.00086,0.0107
7.478,5.23531038257359e-06,0.00086,0.0211
7.5,3.7745841746475453,0.0106,0.39
7.535,3.1759853688049056,315.0,0.33
8.028,0.01171665631731499,6.6,0.115
8.048,0.02293703813114714,6.6,0.23
8.15,0.0007469872340204632,1613952.0,0.008
8.22,282.99335554703254,67660000000000.0,0.0055
8.265,9.527768658332979e-07,0.00086,0.00254
8.41017,7.294325238311735e-07,811468.8,0.17
8.6,0.07934884108325255,2760.0,120.0
8.616,0.10410718269484692,1268.4,0.052
8.639,0.20260940449964351,1268.4,0.101
8.7,83.52356970210008,636.0,0.66
8.905,0.004127307159030259,6.6,0.027
9.0,1.6528272871207808,1.85e-05,1.1
9.1,5.537709141465944,1.05,2.7
9.2,53.62778409071023,91872.0,0.033
9.225,0.4361415705742213,10.2,3.2
9.252,0.834002677133852,10.2,6.3
9.3,1.0624662293150107e-05,2760.0,0.00018
9.317,526.7518453187558,876.6,2.18
9.365,2.552745357570634,54648.0,1.7
9.4057,36.625454148166384,6588.0,5.5
9.42,299.79655717158715,13.6,5.0
9.572,0.03747710212096735,1268.4,0.0123
9.855,0.6263341161384324,1268.4,0.0044
9.886,1.2192976398749784,1268.4,0.0086
9.987,0.0016019157890090681,988122.24,0.0167
10.25,81.57923519253497,91872.0,0.0502
10.26,0.05333635200594529,10.2,0.4
10.264,0.10383486674155318,10.2,0.78
10.3,1.8990671537674812e-05,499.2,3.0
10.366,0.0008843964454859898,10.2,0.0066
10.4178,0.0022689031063092605,150000000.0,0.0036
10.49,3.6003739469799335e-12,459648.0,0.015
10.508,2.091962560382277,7.6,0.4
10.54,0.23379261844340188,225.0,0.009
10.544,4.04426887520834,7.6,0.77
10.6,0.0016257030794649238,252.12,0.035
10.61,8.282487378167012e-10,32400.0,0.82
10.642,0.011055505556349793,864000.0,8.5
10.68,4.269560824205996,0.2,9.7
10.8,4.407377386308527,1623.6,11.1
10.85,106.22076495838523,848.4,0.69
10.86,1.0466765213931797e-05,93.0,0.00342
10.975,0.07973724892622841,1268.4,0.00056
10.982,0.15476613537613526,1268.4,0.00109
11.1,0.29347614316397624,330238.08,0.00074
11.101,0.003767893170508801,1268.4,2.65e-05
11.182,93.31756573477666,17.36,6.87
11.222,180.98057981616088,17.36,13.3
11.242,0.01183914034537718,10483.2,1.08
11.4,0.002769648947956181,1320.0,0.0055
11.7,2.3812213447158426,50492000000.0,0.81
11.72,0.27227054225198966,7.6,0.052
11.726,0.5253439958801883,7.6,0.1
11.79,6.615550876047848e-07,231600000000.0,0.00051
11.864,0.024168304076657016,7.6,0.0046
11.878,157.2576872190482,5.3e-06,6.56
11.9,0.038713683842538926,0.0106,0.004
11.924,304.43437911001723,5.3e-06,12.7
12.0,0.024739896638149943,0.000355,0.253
12.23,8.39755591929905,809.4,0.12
12.3,570.5618775517123,2379000000000.0,7.7
12.327,3.1855943139390974e-08,140148.0,1.42
12.385,2.2082617961981939e-07,27057.6,0.032
12.49,12.390100894570745,17.36,0.91
12.496,24.059640117177604,17.36,1.77
12.598,34.83604365193456,50.0,10.9
12.651,67.49706736167602,50.0,21.1
12.652,1.7162837072640353,17.36,0.126
12.7,19.3598262473266,1033800000000.0,45.0
12.75,1.1801326257858021e-10,181500000.0,3e-05
12.9,7.640464750200165e-07,687100000.0,8e-06
12.975,2355102820.8749347,760900000000.0,0.0369
13.0,6282777.349697087,7747000000000.0,10.0
13.244,0.004939540038863333,5024000000000.0,0.0024
13.284,21.334449004884718,5.3e-06,0.89
13.2845,0.002098166973816632,0.499,0.094
13.292,41.23317843198024,5.3e-06,1.72
13.3,2653110.845483913,91872.0,59.0
13.336,531.0524985549042,1.84,0.62
13.395,1021.0040579652232,1.84,1.19
13.4,0.00021568647942082913,139644.0,0.0016
13.469,4.123317843198024,5.3e-06,0.172
13.47,4.663908261046261,0.032,7.4
13.49,4867.084776524556,7.1,21.0
13.5,1.6628037286846586,25.9,0.33
13.52,6.294040670857611e-06,181500000.0,1.6
13.6,496549880204.73944,2768000000.0,10.2
13.81,336356.72449644795,583200.0,0.099
13.846,190.31635457406122,1101686.4,1.22
13.9,383439916383.3186,13650000000.0,37.0
13.93,52.764194062199344,13.6,0.88
14.06383,1.2142186676228497e-10,20771000.0,0.018
14.098,702.0701746777421,4057.8,0.424
14.104,4.822398445422374,50.0,1.51
14.111,9.415281668883589,50.0,2.94
14.165,1345.3866237290713,4057.8,0.82
14.2,1.6380489878791731e-12,0.0216,3.6
14.3,0.048943971095074854,2.1,0.06
14.311,1.2378500994465693,50.0,0.388
14.4,0.0019184620227653511,988122.24,0.02
14.883,2037.3600070038792,15.663,0.154
14.89,7.26885141038704e-13,10349000.0,0.0006
14.952,74.64262942676288,1.84,0.087
14.958,3890.3670161610407,15.663,0.295
14.961,144.77407434107303,1.84,0.169
15.185,22.871202402632886,1.84,0.0267
15.2,6.0168468896207544e-05,687100000.0,0.000629998
15.606,0.3141180728965058,876.6,0.0013
15.691,2257.464989545702,0.732,2.5
15.775,4486.079760283896,0.732,4.79
15.825,100.43758858537507,4057.8,0.061
15.836,193.08098634400753,4057.8,0.118
16.085,34.13151372021725,4057.8,0.0209
16.09,68.40355539051681,684.0,4.3
16.4,0.12851138846898932,167400.0,8.3
16.5,0.18760477219132246,746.4,0.013
16.52,0.48444615075064945,4.52e-06,0.037
16.521,2591.230874543674,375.78,12.5
16.615,4967.603136020995,375.78,23.9
16.7,0.0018869297862099902,11160.0,1.1
16.726,295.4002440326593,15.663,0.0224
16.738,577.1144781556482,15.663,0.0434
17.013,110.34663550360764,15.663,0.0083
17.1,4.553471493285804,2.62e-08,4.6
17.2,373.76940426858647,91872.0,0.23
17.26,519.682782613408,2330640.0,0.01
17.3,17.13191720462982,25.9,3.4
17.36,0.0002334900309193358,231600000000.0,0.18
17.374,10644.978001980595,375.78,0.000106
17.479,20258.15621457033,375.78,0.000202
17.653,337.9249336971201,0.732,0.37
17.667,660.8757428990075,0.732,0.718
17.7,0.0005863984036115922,1149.0,5.8e-05
17.8,0.017132349834511833,68.7,0.8
17.969,134.9546447906289,0.732,0.146
18.07,0.0,91872.0,0.0
18.15,0.0011634145956307324,595296.0,0.021
18.21,3.731454878381998e-06,5760.0,1.25
18.251,9475.35667274843,876.6,2.1
18.367,17944.398562896076,876.6,4.0
18.4,28.35600966861579,36.3,0.2
18.5,173.43138697472318,75744.0,27.0
18.607,388.52063608291405,375.78,1.87
18.623,754.2405005561311,375.78,3.63
18.763,0.030882292280320488,150000000.0,0.049
18.769,1.5121570577315723e-11,459648.0,0.063
18.952,171.12752543361952,375.78,0.822
19.1,390.020247932438,91872.0,0.24
19.15,1127.8187002862321,42.3,0.093
19.279,2106.781539958677,42.3,0.18
19.5,2.5293407690912035,684.0,0.159
19.55,100654.58707354944,2.221e+16,63.0
19.59,1621.805153393453,375.78,1.62e-05
19.6,0.15029757247111888,1033800000000.0,0.35
19.607,3050.127451473526,375.78,3.14e-05
19.8,0.07752530548715997,87050000.0,0.0204
19.81296,0.001006557112141011,166622.4,0.000104
19.84,0.016042859424398797,0.000185,7.0
19.965,684.6289262553494,375.78,6.89e-06
20.0,89.59168080587543,624.0,3.6
20.02,4.350530996546813e-05,2082240.0,0.005
20.074,281.0500945266298,34.4,2.96
20.216,528.6931595258255,34.4,5.6
20.25,0.022409617020613892,1613952.0,0.24
20.27,0.002200939615621115,1320.0,1.6
20.38,36.084361949057204,2.9,0.56
20.599,1445.8853681583032,876.6,0.33
20.619,2806.5659596351998,876.6,0.63
20.94,0.0,1613952.0,0.0
20.999,3.912406355718195e-13,459648.0,0.00163
21.005,638.6171400344602,876.6,0.14
21.02,635.9333621733251,21.3,5.63
21.035,0.0002962179055459312,150000000.0,0.00047
21.036,0.024264928114902842,0.032,0.0385
21.177,1192.0369447206463,21.3,10.6
21.543,0.0405943358436632,2840000000.0,0.0318
21.634,173.19832862749388,42.3,0.015
21.646,0.00063911278700822,6880000000000.0,1.24
21.657,336.2511759041979,42.3,0.028
21.99,601.8481901954975,145.2,0.299
22.074,78.82310713725005,42.3,0.0066
22.163,1138.1176942777915,145.2,0.56
22.5,0.027697847412738407,10.2,0.5
22.51,3.636990779476495e-11,8043839.1,2.32
22.52,0.02673909350738993,191088.0,0.025
22.6,8.005886145332566,33840.0,2.6
22.699,44.090377236312925,34.4,0.47
22.7,0.005805984313567871,6220.8,0.0054
22.724,85.21195651569197,34.4,0.9
22.88,55.983706128660344,809.4,0.8
22.984,15.56508012517036,445000000.0,0.0142
23.0,10.135583667535176,56.4,0.184
23.172,20.598507991046326,34.4,0.216
23.174,29.27995505276799,445000000.0,0.0268
23.28,0.003247105288832086,6880000000000.0,6.3
23.438,4.031698560222532e-09,0.0204,0.48
23.6,0.0021057615298069464,1033800000000.0,0.0049
23.7,6.624979552595795,11.8,3.9
23.791,101.0141438426051,21.3,0.9
23.819,194.51110899751194,21.3,1.73
23.87,1.3625821515526882e-06,137484.0,16.5
23.871,1.5514276310436539,144.0,15.2
23.875,24.807306303246964,25320000.0,16.5
24.0,0.6180008976497671,0.00169,0.113
24.002,11.133865566537779,5968.56,7.06
24.21,20.636053249137245,5968.56,13.1
24.299,47.426490124023644,21.3,0.422
24.38,0.0007910306909753419,0.0176,0.389
24.5,0.00267415311198912,687100000.0,0.0279999
24.595,0.21449846180787957,145029.312,0.0014
24.912,97.1280325356958,145.2,0.048
24.943,187.69058156701635,145.2,0.093
25.02,0.0002058141682859722,5024000000000.0,0.0001
25.044,346.4634432554317,23.1,0.3
25.1,3.3360728123977372,684.0,0.099
25.271,640.563207048107,23.1,0.55
25.3,0.8313804843229972,33840.0,0.27
25.3106,0.004346795234199732,5024000000000.0,0.00211
25.39,1.0377334707526037e-05,231600000000.0,0.008
25.455,47.07009724006209,145.2,0.0233
25.48,0.051101174640180415,1033800000000.0,0.119
25.64,22913.68956603073,91872.0,14.1
25.65135,1.2852960808803497,595296.0,23.2
25.655,7.648994009385058e-09,8928.0,27.0
25.69,7.3961776738053935,1330.8,0.53
25.95,5.825854372027626e-08,687100000.0,6.1e-07
26.0,1.9509715687676103e-06,864000.0,0.0015
26.06,2.5322726160075595,445000000.0,0.00232
26.0867,4.738075507290239e-06,251.46,0.0033
26.095,4.880875682493478,445000000.0,0.00447
26.111,1349.3057845139067,0.000355,18.0
26.3446,23519889543.138695,13650000000.0,2.27
26.359,2468.493550434567,0.000355,32.0
26.4,5.86132537473615e-08,181500000.0,0.0149
26.527,0.19915927266492398,150000000.0,0.316
26.533,9.456982234067293e-11,459648.0,0.394
26.644,1.2560132882089488,445000000.0,0.00115
26.7,13609449.430395178,451000000.0,0.0001
26.9,1.9740735008346857,2.1,2.42
27.119,2.0581416828597224e-06,5024000000000.0,1e-06
27.202,2763.6342255250474,2370.0,3.08
27.238,1.8495880048267614,5968.56,1.17
27.276,3.5609337949782733,5968.56,2.26
27.36,4.508927174133567,1033800000000.0,10.5
27.472,5119.224324517933,2370.0,5.7
27.51,0.0005951163081243942,2760.0,0.9
27.513,398.3387518220405,1.23e-07,13.2
27.7,167.12143251619113,8.6e-06,2.6
27.81,460.8756170132817,4176.0,16.3
27.863,0.9515615653254212,5968.56,0.603
28.227,0.0025441142148944287,293760.0,1.13
28.26,0.8083179679732422,10170.0,0.028
28.288,7.409310058294999e-05,5024000000000.0,3.6e-05
28.317,8968.270556532241,530.4,5.12
28.321,32.72227349677782,315.0,3.4
28.4,48.245106596357815,2.1,0.21
28.444,58.171238994124955,23.1,0.05
28.486,112.07301736318563,23.1,0.097
28.5,13.203476970727666,684.0,0.83
28.562,3793.6843130778775,2330640.0,0.073
28.6,0.00436232484745062,5.34,0.00052
28.612,16510.98610185295,530.4,9.42
28.68,0.00012971668724362834,8928.0,0.012
28.7,1.7031141221073172,25.9,0.338
28.701,0.0020498256462315925,595296.0,0.037
